age,workclass,education,maritalstatus,occupation,workhours,income
28,Private,College,Divorced,Administrative,40,Below-50K
53,Private,High-school,Married,Administrative,40,Above-50K
49,Self-emp,College,Married,Management,50,Above-50K
25,Missing,College,Single,Missing,40,Below-50K
19,Private,College,Single,Specilist,32,Below-50K
31,Private,Bachelors,Separated,Sales,40,Below-50K
29,Self-emp,Bachelors,Married,Sales,70,Above-50K
23,Private,College,Single,Machinary,40,Below-50K
79,Private,College,Married,Specilist,20,Below-50K
27,Private,High-school,Single,Other,40,Below-50K
40,Private,Associate,Married,Administrative,40,Below-50K
67,Missing,10th,Married,Missing,2,Below-50K
18,Private,11th,Single,Other,22,Below-50K
31,Local-gov,7th-8th,Married,Algriculture,40,Below-50K
18,Private,High-school,Single,Sales,30,Below-50K
52,Private,Bachelors,Married,Other,40,Below-50K
46,Private,High-school,Married,Other,40,Below-50K
59,Private,High-school,Married,Sales,48,Below-50K
44,Private,High-school,Divorced,Craft-repair,40,Above-50K
53,Private,High-school,Divorced,Sales,35,Below-50K
49,Local-gov,High-school,Married,Security,40,Above-50K
33,Private,Masters,Married,Specilist,50,Below-50K
30,Private,9th,Single,Sales,40,Below-50K
43,Federal-gov,Doctorate,Single,Specilist,50,Above-50K
57,Private,Associate,Married,Specilist,40,Below-50K
37,Private,College,Divorced,Craft-repair,40,Below-50K
28,Private,College,Divorced,Machinary,25,Below-50K
30,Private,High-school,Married,Sales,35,Below-50K
34,Local-gov,Bachelors,Married,Security,40,Above-50K
29,Local-gov,College,Single,Clearning,50,Below-50K
48,Self-emp,Doctorate,Married,Specilist,60,Above-50K
37,Private,College,Married,Sales,48,Above-50K
48,Private,Associate,Divorced,Management,40,Below-50K
32,Federal-gov,High-school,Single,Other,40,Below-50K
76,Private,Masters,Married,Management,40,Above-50K
44,Private,Bachelors,Married,Management,60,Above-50K
47,Self-emp,Masters,Single,Specilist,50,Below-50K
20,Private,College,Single,Tech-support,40,Below-50K
29,Private,High-school,Single,Craft-repair,40,Below-50K
32,Self-emp,High-school,Married,Craft-repair,40,Above-50K
17,Missing,10th,Single,Missing,32,Below-50K
30,Private,11th,Single,Clearning,40,Below-50K
31,Local-gov,High-school,Single,Administrative,40,Below-50K
42,Private,High-school,Married,Clearning,40,Below-50K
24,Private,Bachelors,Single,Sales,40,Below-50K
38,Private,Prof-school,Married,Specilist,40,Above-50K
56,Self-emp,High-school,Married,Other,50,Above-50K
28,Private,College,Married,Sales,25,Below-50K
36,Private,High-school,Single,Machinary,40,Below-50K
53,Private,9th,Married,Clearning,50,Below-50K
56,Self-emp,College,Married,Sales,50,Below-50K
49,Local-gov,Associate,Married,Craft-repair,40,Above-50K
55,Private,College,Married,Sales,56,Below-50K
22,Private,High-school,Single,Craft-repair,41,Below-50K
21,Private,College,Single,Other,40,Below-50K
40,Private,Bachelors,Married,Management,60,Below-50K
30,Private,Bachelors,Single,Management,40,Below-50K
29,State-gov,Bachelors,Married,Specilist,50,Above-50K
19,Private,College,Single,Other,35,Below-50K
47,Private,Bachelors,Married,Management,40,Above-50K
20,Private,College,Single,Administrative,28,Below-50K
31,Private,Associate,Married,Administrative,40,Above-50K
35,Missing,High-school,Married,Missing,40,Below-50K
39,Private,College,Divorced,Craft-repair,40,Below-50K
28,Private,Associate,Single,Sales,60,Below-50K
24,Private,High-school,Single,Other,40,Below-50K
38,Self-emp,High-school,Married,Craft-repair,35,Below-50K
37,Private,Bachelors,Married,Sales,50,Below-50K
46,Private,Associate,Divorced,Tech-support,36,Below-50K
38,Federal-gov,Masters,Married,Specilist,40,Above-50K
43,Self-emp,High-school,Married,Craft-repair,60,Below-50K
27,Private,Associate,Married,Administrative,35,Below-50K
20,Private,College,Single,Sales,20,Below-50K
49,Private,College,Married,Craft-repair,40,Above-50K
61,Self-emp,High-school,Married,Craft-repair,40,Below-50K
27,Private,College,Single,Sales,40,Below-50K
19,Private,College,Single,Other,30,Below-50K
45,Private,Associate,Single,Specilist,40,Above-50K
70,Private,College,Single,Tech-support,40,Below-50K
31,Private,High-school,Single,Transportation,30,Below-50K
22,Private,College,Married,Other,24,Below-50K
36,Private,High-school,Widowed,Other,24,Below-50K
64,Private,11th,Married,Craft-repair,40,Below-50K
43,Missing,College,Divorced,Missing,40,Below-50K
47,Local-gov,College,Divorced,Administrative,38,Below-50K
34,Private,High-school,Single,Administrative,40,Below-50K
33,Private,Bachelors,Single,Management,40,Below-50K
21,Private,High-school,Single,Craft-repair,35,Below-50K
52,Missing,High-school,Divorced,Missing,45,Above-50K
48,Private,High-school,Married,Craft-repair,46,Below-50K
23,Private,Bachelors,Single,Clearning,40,Below-50K
71,Self-emp,College,Separated,Sales,2,Below-50K
29,Private,High-school,Divorced,Craft-repair,60,Below-50K
42,Private,Bachelors,Separated,Other,50,Below-50K
68,Missing,1st-4th,Divorced,Missing,20,Below-50K
25,Private,High-school,Single,Other,40,Below-50K
44,Self-emp,Masters,Divorced,Management,40,Below-50K
28,Private,High-school,Single,Management,40,Below-50K
45,Self-emp,Masters,Married,Sales,40,Above-50K
36,Private,College,Divorced,Other,40,Below-50K
39,Federal-gov,Associate,Single,Management,42,Below-50K
46,State-gov,Masters,Widowed,Security,40,Below-50K
18,Private,11th,Single,Clearning,16,Below-50K
66,Local-gov,Associate,Widowed,Specilist,20,Below-50K
27,Private,High-school,Single,Other,40,Below-50K
28,State-gov,High-school,Married,Security,40,Below-50K
51,Private,College,Married,Sales,40,Above-50K
27,Private,Bachelors,Single,Craft-repair,50,Below-50K
28,State-gov,Bachelors,Married,Specilist,40,Above-50K
27,Private,High-school,Separated,Sales,25,Below-50K
21,Private,High-school,Single,Craft-repair,40,Below-50K
34,Private,High-school,Single,Clearning,40,Below-50K
18,Private,High-school,Single,Other,12,Below-50K
33,Private,Bachelors,Married,Specilist,65,Below-50K
44,Local-gov,College,Married,Management,38,Above-50K
43,Private,College,Divorced,Administrative,40,Below-50K
30,Private,College,Single,Craft-repair,45,Below-50K
40,Private,7th-8th,Married,Machinary,40,Above-50K
37,Federal-gov,College,Married,Administrative,42,Above-50K
34,Private,High-school,Married,Administrative,40,Below-50K
41,Self-emp,Bachelors,Divorced,Management,40,Below-50K
53,Missing,Bachelors,Divorced,Missing,50,Below-50K
31,Private,Masters,Married,Specilist,50,Below-50K
58,State-gov,Doctorate,Married,Specilist,1,Above-50K
38,Private,College,Divorced,Machinary,28,Below-50K
24,Private,College,Married,Machinary,40,Below-50K
41,Local-gov,Bachelors,Married,Craft-repair,40,Below-50K
47,Private,College,Married,Tech-support,45,Below-50K
41,Federal-gov,Bachelors,Married,Tech-support,24,Below-50K
23,Private,5th-6th,Married,Transportation,40,Below-50K
36,Private,College,Divorced,Craft-repair,40,Below-50K
40,Federal-gov,Masters,Single,Management,55,Above-50K
35,Private,Masters,Married,Specilist,40,Above-50K
24,Self-emp,High-school,Single,Sales,40,Below-50K
26,Private,Masters,Single,Specilist,40,Below-50K
19,Missing,High-school,Single,Missing,40,Below-50K
51,Private,Bachelors,Married,Management,50,Above-50K
42,Local-gov,College,Single,Specilist,40,Below-50K
37,State-gov,High-school,Divorced,Administrative,35,Below-50K
18,Private,11th,Single,Sales,40,Below-50K
36,Private,Bachelors,Married,Other,36,Above-50K
35,Private,High-school,Divorced,Craft-repair,60,Below-50K
58,Self-emp,High-school,Married,Sales,35,Above-50K
17,Private,11th,Single,Sales,12,Below-50K
44,Local-gov,High-school,Married,Transportation,40,Below-50K
37,Private,High-school,Married,Craft-repair,40,Above-50K
35,Private,College,Single,Sales,40,Below-50K
60,Private,High-school,Married,Craft-repair,40,Below-50K
54,Self-emp,7th-8th,Married,Machinary,40,Above-50K
37,Private,Bachelors,Single,Management,60,Above-50K
50,Private,Associate,Divorced,Sales,40,Below-50K
38,Private,Bachelors,Married,Sales,50,Below-50K
45,Private,Bachelors,Married,Specilist,55,Below-50K
25,Private,10th,Single,Craft-repair,40,Below-50K
31,Private,College,Married,Clearning,40,Below-50K
64,Missing,1st-4th,Divorced,Missing,40,Below-50K
90,Private,High-school,Single,Other,40,Below-50K
54,Private,High-school,Married,Administrative,20,Below-50K
53,Local-gov,Preschool,Single,Machinary,35,Below-50K
18,Private,High-school,Single,Sales,40,Below-50K
60,Missing,10th,Divorced,Missing,10,Below-50K
66,Self-emp,High-school,Married,Algriculture,50,Below-50K
75,Private,Associate,Widowed,Administrative,20,Below-50K
65,Private,High-school,Divorced,Administrative,40,Below-50K
35,Private,11th,Separated,Transportation,40,Below-50K
41,Private,High-school,Divorced,Sales,38,Below-50K
25,Private,College,Single,Administrative,42,Below-50K
33,Private,College,Divorced,Craft-repair,40,Below-50K
28,Private,Prof-school,Single,Specilist,55,Above-50K
59,State-gov,High-school,Married,Other,40,Below-50K
40,State-gov,College,Single,Administrative,38,Below-50K
41,Private,Bachelors,Married,Management,50,Above-50K
38,Local-gov,Masters,Married,Management,70,Above-50K
23,Private,High-school,Single,Transportation,40,Below-50K
40,Private,Bachelors,Married,Specilist,40,Above-50K
41,Self-emp,High-school,Married,Other,20,Below-50K
24,State-gov,Associate,Married,Security,50,Below-50K
20,Missing,College,Single,Missing,20,Below-50K
38,Private,College,Divorced,Craft-repair,40,Below-50K
56,Private,High-school,Married,Administrative,35,Below-50K
58,Private,High-school,Married,Administrative,45,Above-50K
32,Private,High-school,Single,Other,34,Below-50K
40,Private,Associate,Married,Tech-support,60,Above-50K
45,Private,High-school,Married,Administrative,40,Below-50K
41,Private,Prof-school,Married,Specilist,40,Above-50K
42,Private,Bachelors,Married,Administrative,40,Below-50K
59,Local-gov,10th,Widowed,Other,30,Below-50K
19,Local-gov,College,Single,Administrative,40,Below-50K
58,Private,College,Single,Transportation,20,Below-50K
42,Self-emp,High-school,Married,Algriculture,40,Above-50K
20,Private,High-school,Single,Other,40,Below-50K
32,Private,High-school,Separated,Other,30,Below-50K
45,Private,Associate,Widowed,Management,45,Below-50K
50,Private,7th-8th,Divorced,Craft-repair,40,Below-50K
36,Private,Bachelors,Divorced,Specilist,40,Below-50K
45,Private,High-school,Married,Sales,60,Below-50K
17,Private,11th,Single,Other,12,Below-50K
59,Private,College,Married,Sales,40,Below-50K
26,Private,11th,Married,Craft-repair,40,Below-50K
37,Self-emp,College,Married,Management,75,Above-50K
19,Missing,College,Single,Missing,24,Below-50K
64,Private,High-school,Married,Management,40,Above-50K
33,Private,Bachelors,Single,Specilist,45,Below-50K
33,Private,High-school,Married,Craft-repair,40,Above-50K
61,Private,High-school,Married,Management,40,Above-50K
17,Private,9th,Single,Other,24,Below-50K
50,Self-emp,Masters,Married,Algriculture,98,Below-50K
27,Local-gov,Masters,Single,Specilist,35,Below-50K
30,Private,High-school,Divorced,Specilist,40,Below-50K
43,Private,High-school,Married,Clearning,40,Below-50K
44,Private,College,Married,Craft-repair,40,Above-50K
35,Private,College,Single,Management,40,Below-50K
25,Private,College,Single,Tech-support,40,Below-50K
24,Private,College,Married,Machinary,48,Above-50K
22,Private,Bachelors,Single,Specilist,15,Below-50K
42,Local-gov,College,Married,Craft-repair,40,Above-50K
34,Private,Associate,Divorced,Sales,45,Below-50K
60,Private,Bachelors,Divorced,Specilist,42,Below-50K
21,Private,High-school,Single,Clearning,40,Below-50K
57,Federal-gov,Masters,Married,Sales,40,Above-50K
41,Private,Prof-school,Married,Specilist,60,Above-50K
50,Private,College,Divorced,Other,45,Below-50K
25,Private,Bachelors,Single,Management,40,Below-50K
50,Private,7th-8th,Married,Craft-repair,40,Below-50K
36,Private,Bachelors,Married,Specilist,45,Below-50K
31,Private,High-school,Divorced,Specilist,40,Below-50K
29,Local-gov,Bachelors,Single,Security,56,Below-50K
21,Private,College,Single,Sales,45,Below-50K
27,Private,Bachelors,Single,Tech-support,40,Below-50K
65,Private,High-school,Married,Transportation,16,Below-50K
37,Self-emp,Bachelors,Divorced,Sales,60,Below-50K
39,Missing,Masters,Married,Missing,40,Below-50K
24,Private,High-school,Single,Craft-repair,40,Below-50K
38,Private,High-school,Divorced,Sales,80,Below-50K
48,Private,Bachelors,Married,Administrative,40,Above-50K
21,Private,College,Single,Other,25,Below-50K
31,Private,High-school,Married,Transportation,45,Above-50K
55,Private,High-school,Married,Sales,40,Above-50K
24,Private,College,Married,Administrative,40,Below-50K
43,Private,High-school,Divorced,Administrative,40,Below-50K
26,Private,Associate,Single,Tech-support,45,Below-50K
46,Private,Associate,Single,Specilist,33,Below-50K
35,Private,Associate,Married,Administrative,40,Above-50K
41,Self-emp,College,Married,Algriculture,54,Above-50K
26,Private,Bachelors,Single,Sales,40,Below-50K
34,Private,Masters,Married,Management,35,Above-50K
19,Missing,College,Single,Missing,25,Below-50K
36,Self-emp,Bachelors,Divorced,Specilist,40,Above-50K
22,Private,College,Single,Sales,15,Below-50K
24,Private,College,Single,Machinary,40,Below-50K
77,Self-emp,College,Married,Sales,40,Below-50K
22,Private,5th-6th,Married,Machinary,40,Below-50K
29,Private,College,Single,Tech-support,40,Below-50K
62,Private,High-school,Widowed,Other,24,Below-50K
39,Self-emp,High-school,Married,Management,40,Below-50K
43,Private,College,Married,Craft-repair,50,Below-50K
35,Private,High-school,Divorced,Transportation,45,Below-50K
29,Private,11th,Single,Management,40,Below-50K
76,Self-emp,Masters,Married,Craft-repair,10,Below-50K
63,Self-emp,High-school,Married,Algriculture,45,Below-50K
23,Missing,Associate,Single,Missing,15,Below-50K
43,Private,College,Married,Specilist,50,Above-50K
58,Self-emp,High-school,Married,Clearning,40,Below-50K
66,Private,High-school,Single,Transportation,55,Below-50K
41,Private,College,Single,Craft-repair,45,Below-50K
26,Private,Bachelors,Single,Administrative,40,Below-50K
47,Private,Associate,Single,Other,40,Below-50K
55,Local-gov,10th,Married,Administrative,40,Below-50K
53,Private,High-school,Married,Transportation,40,Below-50K
17,Private,5th-6th,Single,Other,48,Below-50K
30,Private,High-school,Single,Craft-repair,40,Below-50K
49,Private,Masters,Single,Specilist,60,Below-50K
19,Private,High-school,Single,Sales,30,Below-50K
45,Private,High-school,Married,Other,40,Below-50K
26,Private,Associate,Single,Sales,40,Below-50K
38,Private,Associate,Married,Craft-repair,40,Above-50K
36,State-gov,High-school,Married,Security,40,Above-50K
33,Private,High-school,Single,Algriculture,20,Below-50K
22,State-gov,College,Single,Security,40,Below-50K
43,Self-emp,Bachelors,Single,Sales,42,Below-50K
67,Missing,11th,Married,Missing,8,Below-50K
30,Missing,Associate,Divorced,Missing,40,Below-50K
56,Private,Associate,Separated,Other,25,Below-50K
31,Private,Bachelors,Single,Specilist,25,Below-50K
33,Private,Bachelors,Married,Management,40,Above-50K
26,Private,High-school,Married,Other,40,Below-50K
33,Private,Bachelors,Married,Management,40,Above-50K
46,Local-gov,11th,Married,Transportation,30,Below-50K
59,Missing,Bachelors,Married,Missing,40,Above-50K
38,Federal-gov,High-school,Married,Administrative,40,Above-50K
65,Private,11th,Widowed,Other,40,Below-50K
40,Private,Associate,Married,Tech-support,40,Above-50K
42,Private,High-school,Married,Administrative,35,Below-50K
26,Self-emp,9th,Married,Craft-repair,40,Below-50K
36,Private,10th,Married,Other,24,Below-50K
62,Private,Masters,Married,Specilist,40,Above-50K
43,Private,Bachelors,Married,Transportation,45,Below-50K
43,Private,Bachelors,Divorced,Management,45,Above-50K
22,Private,High-school,Separated,Sales,55,Below-50K
28,Private,High-school,Married,Craft-repair,40,Below-50K
56,Self-emp,College,Married,Sales,45,Below-50K
22,Private,Associate,Single,Sales,15,Below-50K
57,Private,Bachelors,Divorced,Management,45,Above-50K
39,Private,High-school,Divorced,Sales,40,Below-50K
26,Federal-gov,College,Single,Administrative,15,Below-50K
17,Private,11th,Single,Other,10,Below-50K
40,State-gov,Associate,Married,Machinary,38,Above-50K
45,Private,High-school,Married,Machinary,40,Below-50K
44,Private,High-school,Single,Craft-repair,40,Below-50K
20,Local-gov,College,Single,Administrative,10,Below-50K
33,Private,High-school,Married,Craft-repair,40,Below-50K
23,Private,College,Single,Sales,40,Below-50K
46,Self-emp,Masters,Divorced,Management,30,Below-50K
38,Private,High-school,Married,Sales,50,Below-50K
54,Private,High-school,Divorced,Transportation,40,Below-50K
46,Private,5th-6th,Divorced,Craft-repair,45,Below-50K
25,Private,College,Married,Craft-repair,40,Below-50K
46,Private,College,Divorced,Sales,40,Below-50K
36,Local-gov,College,Married,Transportation,40,Below-50K
23,Private,High-school,Single,Other,25,Below-50K
29,Private,High-school,Separated,Machinary,40,Below-50K
44,Private,College,Married,Administrative,6,Above-50K
19,Private,College,Single,Administrative,16,Below-50K
19,Private,High-school,Single,Other,40,Below-50K
35,Private,High-school,Married,Other,40,Above-50K
27,Private,Bachelors,Single,Craft-repair,50,Below-50K
46,Self-emp,Associate,Separated,Craft-repair,40,Below-50K
34,State-gov,Bachelors,Married,Management,45,Above-50K
34,Private,High-school,Single,Other,35,Below-50K
44,Private,College,Married,Tech-support,40,Below-50K
45,Private,College,Divorced,Clearning,40,Below-50K
20,Missing,High-school,Single,Missing,35,Below-50K
25,Private,Bachelors,Married,Management,55,Above-50K
52,Self-emp,Bachelors,Married,Management,50,Above-50K
20,Private,College,Single,Clearning,40,Below-50K
28,Private,College,Single,Other,40,Below-50K
50,State-gov,Bachelors,Married,Security,40,Above-50K
34,Private,Associate,Divorced,Tech-support,64,Below-50K
28,Private,7th-8th,Married,Clearning,40,Below-50K
41,Private,Masters,Married,Management,65,Above-50K
28,Private,High-school,Married,Administrative,40,Below-50K
46,Self-emp,High-school,Married,Craft-repair,25,Below-50K
28,Missing,College,Married,Missing,40,Above-50K
32,Private,College,Married,Management,50,Below-50K
41,Local-gov,College,Divorced,Other,24,Below-50K
24,Private,High-school,Single,Clearning,40,Below-50K
33,Private,College,Divorced,Management,40,Below-50K
46,Private,Doctorate,Married,Management,60,Above-50K
31,State-gov,College,Married,Machinary,40,Below-50K
35,Private,12th,Divorced,Craft-repair,50,Above-50K
52,Private,1st-4th,Married,Machinary,40,Below-50K
30,Private,11th,Single,Other,19,Below-50K
34,Local-gov,11th,Separated,Machinary,40,Below-50K
34,State-gov,High-school,Divorced,Transportation,40,Below-50K
20,Private,College,Married,Sales,30,Below-50K
17,Private,11th,Single,Clearning,18,Below-50K
32,State-gov,Bachelors,Married,Management,40,Above-50K
29,Private,High-school,Divorced,Algriculture,40,Below-50K
33,Private,10th,Single,Craft-repair,35,Below-50K
25,Private,High-school,Married,Transportation,60,Below-50K
36,Federal-gov,Masters,Single,Specilist,40,Below-50K
23,Private,High-school,Single,Clearning,72,Below-50K
63,Self-emp,High-school,Married,Management,40,Above-50K
47,Local-gov,Masters,Married,Specilist,40,Below-50K
80,Missing,High-school,Widowed,Missing,24,Below-50K
17,Missing,11th,Single,Missing,40,Below-50K
40,Self-emp,Bachelors,Separated,Specilist,40,Below-50K
30,Private,Associate,Married,Other,25,Above-50K
27,Private,College,Single,Craft-repair,40,Below-50K
33,Private,Masters,Married,Specilist,50,Above-50K
34,Local-gov,High-school,Single,Algriculture,60,Below-50K
34,Local-gov,College,Single,Security,40,Below-50K
23,Private,College,Married,Administrative,40,Below-50K
42,Local-gov,College,Married,Administrative,40,Below-50K
29,Private,Bachelors,Single,Specilist,40,Below-50K
45,Private,High-school,Divorced,Administrative,28,Below-50K
24,Federal-gov,High-school,Single,Military,40,Below-50K
44,Private,College,Married,Specilist,40,Above-50K
27,Private,9th,Single,Craft-repair,40,Below-50K
20,Private,College,Single,Sales,35,Below-50K
44,Private,High-school,Widowed,Management,40,Below-50K
51,Private,High-school,Married,Craft-repair,40,Below-50K
20,Private,High-school,Married,Machinary,40,Below-50K
17,Missing,11th,Single,Missing,5,Below-50K
19,Private,High-school,Single,Machinary,40,Below-50K
45,Self-emp,College,Married,Craft-repair,55,Above-50K
60,Private,High-school,Married,Craft-repair,40,Above-50K
42,Private,Associate,Married,Management,40,Above-50K
44,Self-emp,High-school,Married,Sales,40,Above-50K
40,Private,Associate,Married,Machinary,40,Above-50K
30,Private,High-school,Married,Management,40,Below-50K
38,Private,College,Married,Transportation,50,Below-50K
23,Private,High-school,Married,Transportation,60,Below-50K
32,Missing,College,Married,Missing,40,Below-50K
44,Private,Associate,Single,Algriculture,40,Below-50K
54,Local-gov,High-school,Married,Transportation,40,Below-50K
32,Private,Bachelors,Married,Specilist,50,Below-50K
50,Private,1st-4th,Separated,Craft-repair,40,Below-50K
24,Private,Bachelors,Single,Tech-support,20,Below-50K
37,Private,High-school,Married,Administrative,60,Below-50K
52,Private,High-school,Divorced,Transportation,40,Below-50K
38,Private,College,Married,Transportation,40,Below-50K
49,Private,Masters,Married,Management,45,Above-50K
30,Private,Bachelors,Married,Tech-support,16,Above-50K
60,Private,College,Single,Specilist,40,Above-50K
22,Missing,College,Single,Missing,40,Below-50K
35,Private,High-school,Single,Craft-repair,40,Below-50K
30,Private,High-school,Single,Transportation,60,Below-50K
67,Private,Associate,Divorced,Other,24,Below-50K
46,Private,Bachelors,Single,Craft-repair,40,Below-50K
17,Private,9th,Single,Other,6,Below-50K
22,Private,College,Single,Clearning,30,Below-50K
27,Private,10th,Single,Other,40,Below-50K
23,Private,High-school,Single,Other,35,Below-50K
33,Private,Associate,Married,Craft-repair,45,Below-50K
43,Self-emp,College,Married,Craft-repair,20,Below-50K
28,State-gov,Bachelors,Single,Specilist,20,Below-50K
41,Private,High-school,Separated,Craft-repair,40,Below-50K
52,Missing,12th,Single,Missing,40,Below-50K
25,Private,College,Separated,Administrative,20,Below-50K
63,Missing,1st-4th,Married,Missing,35,Below-50K
59,Local-gov,High-school,Married,Transportation,45,Below-50K
45,Local-gov,Bachelors,Divorced,Specilist,40,Below-50K
38,Private,Bachelors,Married,Sales,60,Above-50K
40,Private,High-school,Single,Other,35,Below-50K
46,Federal-gov,High-school,Divorced,Administrative,40,Below-50K
35,Private,Associate,Single,Management,60,Below-50K
34,Private,High-school,Divorced,Specilist,25,Below-50K
33,Private,Bachelors,Single,Craft-repair,20,Below-50K
41,Private,High-school,Divorced,Administrative,36,Below-50K
20,Private,College,Single,Machinary,40,Below-50K
23,Private,5th-6th,Single,Other,40,Below-50K
26,Private,College,Single,Specilist,35,Below-50K
72,Missing,High-school,Married,Missing,20,Below-50K
23,Local-gov,High-school,Single,Algriculture,40,Below-50K
62,Local-gov,High-school,Married,Transportation,40,Below-50K
52,Private,College,Married,Administrative,40,Below-50K
58,Private,College,Divorced,Other,42,Below-50K
25,Private,Bachelors,Single,Sales,40,Below-50K
24,Private,Bachelors,Single,Management,40,Below-50K
19,Private,College,Single,Security,8,Below-50K
43,Private,College,Married,Management,40,Below-50K
47,Local-gov,High-school,Separated,Administrative,40,Below-50K
39,Private,High-school,Divorced,Other,40,Below-50K
49,Private,Associate,Separated,Clearning,42,Below-50K
53,Missing,5th-6th,Widowed,Missing,30,Below-50K
32,Private,Associate,Single,Craft-repair,45,Below-50K
34,Private,College,Married,Specilist,50,Above-50K
28,Private,High-school,Divorced,Craft-repair,45,Below-50K
57,Missing,Associate,Widowed,Missing,38,Below-50K
25,Private,College,Single,Administrative,20,Below-50K
20,Missing,College,Single,Missing,24,Below-50K
21,Missing,College,Single,Missing,35,Below-50K
34,Private,Bachelors,Married,Specilist,50,Above-50K
38,Self-emp,Bachelors,Married,Management,80,Above-50K
50,Private,High-school,Married,Management,50,Above-50K
24,Local-gov,College,Divorced,Clearning,50,Below-50K
37,Local-gov,College,Married,Tech-support,45,Above-50K
44,Private,College,Divorced,Machinary,58,Above-50K
28,Private,College,Married,Sales,40,Below-50K
42,Private,Bachelors,Married,Management,40,Above-50K
74,Private,College,Divorced,Administrative,9,Below-50K
38,Self-emp,High-school,Married,Craft-repair,50,Below-50K
44,Self-emp,Masters,Married,Specilist,40,Below-50K
44,Private,11th,Divorced,Machinary,46,Below-50K
26,Private,High-school,Single,Machinary,40,Below-50K
36,Private,High-school,Married,Other,40,Below-50K
41,Private,Associate,Married,Management,50,Above-50K
67,Private,Prof-school,Married,Specilist,48,Above-50K
39,Local-gov,12th,Married,Tech-support,50,Below-50K
57,Private,1st-4th,Widowed,Clearning,30,Below-50K
29,Private,Associate,Separated,Craft-repair,40,Below-50K
31,Self-emp,Bachelors,Single,Algriculture,45,Below-50K
34,Missing,High-school,Single,Missing,40,Below-50K
44,Private,College,Married,Transportation,40,Below-50K
29,Private,Doctorate,Single,Specilist,40,Below-50K
30,Private,College,Single,Clearning,40,Below-50K
